surgery;Arztpraxis:Praxis:Praxisräume;0;
why;warum;0;
Be careful!;Vorsicht!:Pass auf!;0;2018-07-02
cooking;Kochen;0;2018-07-02
dialogue;Dialog:Gespräch;0;2018-07-02
to finde out;herausfinden;0;
situation;Situation;0;
speaker;Redner:Sprecher;0;
What is ... about?;Worum geht es in...?;0;2018-07-02
to be about;sich handeln um;0;2018-07-02
to improve;sich verbessern:verbessern;0;
to warm up;aufwärmen:sich aufwärmen;0;2018-05-14
mouth;Mund;0;2018-05-14
sound;Ton:Geräusch:Klang;0;2018-07-02
to get fit;in Form kommen:fit werden;0;
rhythm;Rhythmus;0;
to stand up;aufstehen;0;
Clap your hands.;Klatscht in die Hände.;0;2018-07-02
loud;laut;0;
very much;sehr;0;2018-07-02
to speak;sprechen;0;2018-07-02
clear;klar:deutlich;0;2018-07-02
acting a scene;eine Theaterszene spielen;0;
too;zu;0;
scene;Szene;0;2018-07-02
typical;typisch;0;2018-07-02
country;Land:Länder;0;2018-05-14
interesting;interessant;0;
to look;schauen:sehen:aussehen;0;2018-07-02
in the mornings;morgens:vormittags;0;2018-07-02
to act;spielen;0;
to be good at;gut sein in;0;
to wash;waschen:sich waschen;0;
face;Gesicht;0;
to make;machen:tun:bilden;0;
early;früh;0;
goodbye;auf Wiedersehen;0;
to bark;bellen;0;2018-07-02
to be scared of;Angst haben vor;0;2018-07-02
to run away;wegrennen;0;
to have fun;Spaß haben:sich amüsieren;0;2018-07-02
to listen for;horchen auf;0;2018-07-02
Sit!;Sitz!:Platz!;0;
around;um...herum:umher;0;
to chase;jagen:nachjagen;0;
tail;Schwanz;0;
a lot to learn;viel zu lernen;0;2018-07-02
to put;setzen:stellen:legen;0;
drink;Getränk;0;
fall over;hinfallen:umkippen;0;
to throw;werfen;0;2018-07-02
shoe;Schuhe;0;2018-05-14
to fall a sleep;einschlafen;0;
to describe;beschreiben;0;2018-07-02
How to...;Wie man...;0;2018-07-02
to visite;besichtigen:besuchen;0;2018-07-02
important;wichtig;0;2018-07-02
these;diese hier;0;
page;Seite;0;
what to...;was man;0;
English-speaking;englischsprachig;0;
warm-up;Aufwärmübung;0;2018-07-02
smile;Lächeln;0;
Exuse me...;Entschuldigung!:Entschuldigen sie!;0;2018-07-02
of course;natürlich:selbstverständlich;0;2018-07-02
to have a sweet;ein Bonbon nehmen:ein Bonbon essen;0;
to have; nehmen:essen;0;
You're welcome.;Bitte schön.:Nichts zu danken.:Gern geschehen.;0;2018-05-14
lemonade;Limonade;0;
timetable;Stundenplan:Fahrplan;0;
to be in the way;im Weg sein:im Weg stehen;0;
way;Weg;0;
bus station;Busbahnhof;0;2018-07-02
person;Person:Mensch;0;2018-07-02
people;Menschen:Personen;0;2018-07-02
box;Box:Kasten:Schachtel:Kiste;0;2018-07-02
to open;öffnen:aufmachen;0;
train;undefined;0;
window;Fenster;0;2018-05-14
to hold;halten:festhalten;0;2018-07-02
open;offen:geöffnet:aufgeschlagen;0;2018-07-02
woman;Frau;0;2018-07-02
women;Frauen;0;
man;undefined;0;
men;undefined;0;
to jump the queue;sich vordrängeln;0;
British;britisch:Brite:Britin;0;
escalator;Rolltreppe;0;2018-07-02
to stand;stehen;0;2018-07-02
to walk;gehen:laufen;0;2018-05-14
at home;zu Hause;0;2018-07-02
at school;in der Schule;0;2018-07-02
at the busstation;am Busbahnhof;0;2018-07-02
in Britain;in Großbritanien;0;2018-05-14
in the house;im Haus;0;
in the park;im Park;0;
in the shop;im Laden;0;
in the street;auf der Straße;0;2018-05-14
on the bus;im Bus;0;2018-07-02
on the train;im Zug;0;
in the car;im Auto;0;2018-05-14
